style,description
No wave,"an avant-garde style of punk rock that rejected punk's adherence to basic rock elements, which usually resulted in most no wave music having abrasive atonal sounds and repetitive, driving rhythms. Despite its name being a play on words off of new wave music , no wave has little to do with that genre."
Noh,"long, highly dramatic Japanese opera."
Noise music,"trend in orchestral, rock, and electronic music where harsh, non-melodic, and often random sounds are used alongside or in place of conventional sounds."
Noise pop,"a style of alternative rock in which noises and feedback are used, but made into a melodic, often relaxing sound usually found in pop music ."
Noise rock,"loud, atonal, dissonant, and unconventional rock music that was developed out of punk rock ."
Nordic folk music,folk music of the Nordic people.
Nortec,Mexican EDM.
Norteño,a style of Mexican folk music developed in Northern Mexico characterized by its polka tempo and its socially relevant lyrics.
Northern soul,soul music made by Northern English.
Nu-disco,a French house -led revival of disco that occurred in the 21st-century.
Nu gaze,a new style of shoegazing .
Nu jazz,modern jazz music that borrows from funk and EDM.
Nu metal,"a style of alternative metal that borrows elements from other genres (especially hip hop music ) and is known for its usage of down-tuned seven-string guitars, angst-filled lyrics that are delivered via screaming and/or rapping, and occasionally featuring a DJ to provide instrumentation such as sampling and turntable scratching."
Nu skool breaks,a more abstract and technical style of breakbeat .
Obikhod,a collection of liturgical chants used by the Russian Orthodox Church ; tends to be polyphonic.
Oi!,1980s style of British punk rock .
Old-school hip hop,"a term for hip hop music recorded before approximately 1984; this style tended to have simpler rapping techniques with lyrics that generally focused on party-related subject matter, resulting in songs that are much longer than those created by later hip hop artists."
Old Roman chant,plainsong used during the Roman rite.
Old-time music,archaic term for many different styles that were an outgrowth of Appalachian folk music and fed into country music .
Oldies and Classic hits,popular music from the 1950s-2000s.
Olonkho,Yakut epic songs.
Old Time Radio,Old Time Radio Shows from the 1930s – 1960s.
Opera,theatrical performances in which all or most dialogue is sung with musical accompaniment.
Operatic pop,"style of pop music that is performed in a classical operatic style (also referred to as "" Popera "")."
Operetta,a light and playful form of theatre music that came out of opera.
Oratorio,"similar to opera but without scenery, costumes or acting."
Orchestral pop,pop music performed or backed by an orchestra; considered a style of easy listening .
Organ trio,"a style of jazz from the 1960s that blended blues and jazz (and later "" soul jazz "") and which was based around the sound of the Hammond organ ."
Organic ambient music,often acoustic ambient music which uses instruments and styles borrowed from world music .
Organum,Middle Ages polyphonic music.
Oriental metal,a style of folk metal that incorporates elements of traditional Middle Eastern music .
Orthodox,the choral music produced by the Greek and Russian Orthodox churches.
Ottava rima,Italian rhyming stanzas.
Ottoman military band,the oldest variety of military marching band in the world.
Outlaw country,a late 1960s and 70s style of country music with a hard-edged rock sound and rebellious contemporary folk lyrics.
Outsider music,music performed by outsiders.
P-Funk,funk created and performed by George Clinton and his bands P arliament (which usually played regular funk) and Funk adelic (which usually played a mix of psychedelic funk and funk rock ).
Pachanga,a mixture of son montuno and merengue.
Pagan rock,rock music (usually alternative rock ) with pagan themes.
Pagode,Brazilian style of music which originated in the Rio de Janeiro region.
Paisley Underground,1980s style of alternative rock that drew heavily on psychedelic music and jangle pop .
Pakistani hip-hop,American hip hop style beats with Pakistani poetry .
Palm wine music,"a fusion of numerous West African , Latin American and European genres, popular throughout coastal West Africa in the 20th century."
Panambih,tembang sunda that uses metered poetry.
Panchai baja,Nepalese wedding music .
Panchavadyam,"temple music from Kerala , India."
Pansori,Korean folk music played by a singer and a drummer.
Paranda music,Garifuna style of music.
Parranda,Afro- Venezuelan style of music.
Parody music,humorous renditions of existing songs or styles.
Parang,Trinidadian Christmas carols .
Pelimanni music,Finnish folk dance music .
Peruvian cumbia,also known as chicha music.
Peyote Song,a mixture of gospel and traditional Native American music .
Philadelphia soul,"soft 1970s soul that came out of Philadelphia , Pennsylvania ."
Pibroch,"a type of music involving the Scottish bagpipes, typically using complex variations of a theme, like for service or ceremonies."
Piedmont blues,a style of blues that originated on the East Coast of the United States. Characterized by syncopated fingerpicked guitar playing and ragtime -based rhythms.
Pilipino,music that was created in the Philippines.
Pimba,origin: Portugal.
Pinoy rock,rock and roll sung in Tagalog from the Philippines .
Piphat,ancient style of Thai classical ensemble.
Pirate metal,mix of heavy metal and pirate music.
Plainsong,chants used in the liturgies of the Western Church.
Pleng phua cheewit,Thai protest rock.
Pleng Thai sakorn,a Thai interpretation of Western classical music .
PluggnB,"combines plugg production with melodic, dreamy contemporary R&B synths."
Plus 8,"features sped-up NY garage 4-to-the-floor rhythms that are combined with breakbeats. Snares are placed over the 2nd and 4th kickdrums, so in other places of the drum pattern."
Political hip hop,hip hop music with political (usually left-wing and/or black nationalist)-themed lyrics; the direct successor to conscious hip hop .
Polka,Czech-originated genre of folk dance music popular in many European countries.
Polo,Venezuelan folk music.
Pols,Danish fiddle and accordion dance music .
Pop music,"a genre of popular music that is specifically designed to have wide appeal, usually by having catchy hooks, simple beats and melodies, clean production and vocals, and lyrics that usually center on love and romantic relationships (frequently the adolescence versions of these topics)."
Pop punk,"a style of punk rock that contains elements of pop music , particularly its catchy hooks, simple melodies, and clean production. Pop punk also shares pop's adolescence themes, although said themes are mostly written from a comedic, punk point of view and usually delve into topics frequently avoided in pop, such as teenage drunkenness and drug usage."
Pop rock,a fusion of rock music and pop music ; usually contains pop song structures and rock instrumentation.
Pop sunda,Sundanese mixture of gamelan degung and pop music structures.
Popular music,any music with wide appeal that is typically distributed to large audiences through the music industry.
Pornogrind,grindcore that focuses on pornographic topics.
Porro,Colombian big band music.
Post-bop,"jazz made after the 1950s following the decline of bebop that has elements of hard bop , modal jazz , avant-garde jazz and free jazz ."
Post-Britpop,British alternative rock made after 1997 following the decline of Britpop .
Post-disco,a style of dance music that contains clear elements of disco but was made after Disco Demolition Night .
Post-grunge,a grunge -inspired style that strips away that genre's mainstream-unfriendly elements (i.e. its introspective lyrics and abrasive tone) and replaces them with a cleaner production and lyrics about relationships.
Post-hardcore,a hardcore punk -inspired style that explores approaches beyond the genre's conventions.
Post-industrial,umbrella term for genres inspired by and that feature industrial music elements.
Post-metal,a heavy metal style that explores approaches beyond the genre's conventions.
Postmodern music,"can refer to any music made in the postmodern era, although its usage is often limited to music (usually classical music , although the term has been applied to some popular musicians ) inspired by postmodernism."
Post-punk,a punk -inspired style that explores approaches beyond the genre's conventions.
Post-punk revival,an alternative rock -led revival of post-punk that occurred between late 1990s to early 2000s; considered a style of electronic rock .
Post-rock,a style of experimental rock that strips away every characteristic that defines the sound of rock music ; considered a form of electronic rock .
Powada,Marathi Folk.
Power metal,"a style of heavy metal with melodic vocals, symphonic context and fantastic or mythical lyrics."
Power pop,a style of pop rock that combines the melodic hooks of the Beatles with the energetic performance of the Who .
Pow-wow,Native American dance music.
Ppongtchak,Korean pop music developed during the Japanese occupation.
Progressive metal,a style of heavy metal and progressive rock.
Progressive music,music that attempts to expand existing stylistic boundaries associated with specific genres of music.
Progressive pop,pop music that attempts to break with the genre's standard formula.
Progressive rock,"a style of rock music and an offshoot of psychedelic rock that abandoned standard rock traditions in favor of instrumentation and compositional techniques more frequently associated with jazz , folk music , and/or classical music ."
Prostopinije,a style of monodic church chant used by churches tied to the Rusyn people.
Proto-punk,any style of garage rock that seems to contain elements of punk rock but was made before its actual existence.
Psybient,"a genre of electronic music that contains elements of ambient , downtempo , psychedelic trance , dub , world music , new wave , ethereal wave , and IDM ."
Psychedelic music,"music that attempts to replicate the effects of and enhance the mind-altering experiences of hallucinogenic drugs; characterized by its disjunctive song structures, surreal lyrics, and its usage of Indian instruments (especially the sitar and tabla) and elaborate studio effects."
Psychedelic folk,a psychedelic style of folk music (as in contemporary folk music ) that adds folk instrumentation into psychedelic music; one of the three original forms of psychedelic music.
Psychedelic funk,"a style of funk that incorporates the psychedelic elements of psychedelic rock , particularly its disjunctive song structures and surreal lyrics."
Psychedelic pop,a psychedelic style of pop music that replaces the disjunctive song structures and surreal lyrics found in psychedelic music with standard pop song structures and lyrics; one of the three original forms of psychedelic music.
Psychedelic rock,a psychedelic style of rock music that adds electrical guitar distortion and feedback into psychedelic music; one of the three original forms of psychedelic music.
Psychedelic soul,"a style of soul music that incorporates the psychedelic elements of psychedelic rock , particularly its usage of electrical guitar distortion and feedback and elaborate studio effects. Unlike other forms of psychedelic music, psychedelic soul lyrics tend to be more political than surreal."
Psydub,"a fusion genre of electronic music that has its roots in psychedelic trance , ambient and dub music ."
Pub rock,"refers to two separate back-to-basics styles of rock music that were played in pubs during the 1970s: one originating from Australia that was largely a hard rock style, and the other originating from the United Kingdom whose emphasis on small venues, simple, fairly inexpensive recordings and indie record labels helped create the British punk rock scene."
Pungmul,"a Korean folk music tradition that includes drumming, dancing, and singing."
Punk blues,a style of blues rock that fuses blues with punk rock .
Punk Cabaret,"a fusion of musical theater and cabaret style music with the aggressive, raw nature of punk rock."
Punk jazz,"a style of punk rock that incorporates elements of free jazz , particularly its instrumentation and the heavy emphasis of jazz improvisation ."
Punk rock,"a style of rock music known for its raw and distorted sound, usually fast and short songs, and frank and confrontational lyrics."
Punta rock,1970s Belizean music.
Puya,traditional music style from Colombia.
Quan ho,Vietnamese vocal music which originated in the Red River Delta .
Qasidah,epic religious poetry accompanied by percussion and beautiful vocals.
Qasidah modern,Qasidah updated for mainstream audiences.
Qawwali,"Sufi religious music updated for mainstream audiences, originated in India ."
Quiet Storm,"music in the early 70s that started out as a style created by bands like The Temptations, The Smiths Connection, and Minnie Riperton that spawned a whole radio format. This style is very melodious with very smooth voices and mellow tones that evoke something either sensual or sentimental."
Raga rock,"a fusion of rock music and Indian music ; related to Indian rock , the term is usually only applied to Western rock musicians (including those of Indian descent) incorporating Indian elements (such as its usage of drone and the sitar) into their sound."
Ragtime,"a style of music known for its syncopated or ""ragged"" rhythm."
Rai,Algerian folk music now developed into a popular style.
Rake-and-scrape,Bahamanian instrumental music.
Ranchera,pop mariachi from 1950s film soundtracks .
Rapping,a musical form of vocal delivery where the lyrics are spoken (usually in time with the music) rather than sung.
Rapso,"a poetic ""rap"" form of Trinbagonian music—the next evolutionary step of Calypso and Soca."
Rap metal,a style of rap rock and alternative metal which combines hip hop music (largely its usage of rapping ) with heavy metal music .
Rap rock,a fusion of hip hop music and rock music ; usually contains rock instrumentation and hip hop vocals and beats.
Rare groove,Gujarati music and dance.
Ravanahatha,Ravana music.
Rave music,any music (usually electronic dance music ) that is usually played in raves.
Reggae,a Jamaican music genre that is known for its offbeat rhythm (particularly the one drop rhythm and ska stroke ) and Rastafarian-influenced lyrics.
Reggaeton,a fusion genre developed in Puerto Rico that combines reggae and hip hop music .
Rekilaulu,Finnish rhyming sleigh songs.
Religious music,music performed or composed for religious use or through religious influence.
Rhyming spiritual,Bahamanian hymns.
Rhythm and blues,"an offshoot of jump blues characterized by its heavy, insistent beat that was an immediate predecessor of rock and roll ."
Rhythm & grime,"a mix of grime with R&B , showcasing a softer side of grime, often with accompanying R&B vocals, while keeping the 140bpm rugged sound of grime."
Riddim,a subgenre of dubstep known for its heavy use of repetitive and minimalist sub-bass and triplet percussion arrangements.
Rímur,Icelandic heroic epic songs.
Ringbang,"a Caribbean fusion of music genres, a philosophy, and an aesthetic propounded by Eddy Grant in 1994."
Riot grrrl,a hardcore punk movement led by women that is heavily associated with third-wave feminism.
RnBass,"a fusion of contemporary R&B music with hip hop production style, known as ratchet music , coined by DJ Mustard ."
Road rap,"a mix of gangsta rap with grime , dubstep , UK garage , jungle music , reggae , and dub music ."
Rock music,"a broad offshoot of rock and roll that is typically characterized by a basic backbeat, 4/4 riffs, and is musically centered on the (usually electric) guitar, bass guitar, drums and vocals, although there are numerous styles within rock where this characterization does not apply."
Rock opera,a collection of rock music songs with lyrics that relate to a common story.
Rock and roll,"a popular music genre that combines blues (via rhythm and blues ) and country music and is known for strong backbeat, its complete dominance within 1950s youth culture, and being the predecessor of rock music ."
Rockabilly,a style of rock and roll that tends to have a stronger country influence than usual.
Ronggeng,"a folk music from Malacca , Malaysia ."
Roots rock,"rock music that looks back to rock's origins in folk music , blues and country music , usually by combining all three with modern rock."
Rumba,vigorous Afro-Cuban music created for ballroom dancing.
Sabar,drumming style found in Senegal .
Sacred Harp,a tradition of sacred choral music that originated in New England and was later perpetuated and carried on in the American South.
Sadcore,an alternative name for slowcore .
Salsa dura,a style of salsa music that places more emphasis on the instrumental part of the music.
Salsa music,a fusion of multiple Cuban- and Puerto Rican-derived popular music genres from immigrants in New York City.
Salsa romántica,"a soft, romantic form of salsa music ."
Samba,a form of Brazilian popular music and dance characterized by its 2/4 time signature varied with the conscious use of a sung chorus to a batucada rhythm. Considered a symbol of Brazil and the Brazilian Carnival.
Samba-canção,traditional samba in slow tempo and with romantic lyrics. influenced by bolero .
Samba-reggae,"a genre of samba with a choppy, reggae -like rhythm."
Samba rock,"a style of samba that contains rock music instrumentation, funk basslines, and soul music vocals."
Sampledelia,any music which heavily utilize sampling (i.e. electronic music and/or hip hop music ).
Sampling,reusing a portion of a sound recording in another recording; considered a foundation of hip hop music .
Sanjo,Korean instrumental folk music .
Sârbă,Romanian folk dance style.
Sardana,Traditional Music of Catalonia.
Sawt,urban music from Kuwait and Bahrain .
Saya,Bolivian music derived from African rhythms.
Scottish folk music,folk music of the Scottish people; part of the Celtic music umbrella.
Scrumpy and Western,folk music from West Country of England.
Screamo,an aggressive style of emo which employs screamed vocals.
Sea shanty,English folk music of the sea.
Sean-nós singing,type of traditional Irish singing .
Seis,type of Puerto Rican dance music.
Semba,traditional type of music from Angola.
Sertanejo music,folk music from the East of Brazil.
Sevdalinka,Bosnian urban popular music.
Shalakho,Armenian folk dance.
Shan'ge,Taiwanese Hakka mountain songs.
Shidaiqu,Hong Kong -based form of traditional music updated for pop audiences and sung in Mandarin .
Shima-uta,"folk songs from the Amami Islands , Japan."
Shoegaze,"a style of Neo-psychedelia characterized by an ethereal mixture of obscured vocals, guitar distortion and effects, feedback, and overwhelming volume."
Shōka,Japanese songs written during the Meiji Restoration to bring Western music to Japanese schools.
Shomyo,Japanese Buddhist chanting .
Shota,Albanian folk dance.
Silat,"Malaysian mixture of music, dance and martial arts."
Sinawi,Korean religious music meant for dancing; it is improvised and reminiscent of jazz
Ska,a Jamaican music genre that combined elements of Caribbean mento and calypso music with American jazz and rhythm and blues ;  characterized by a walking bass line accented with rhythms on the off beat.
Ska punk,fusion of punk rock and ska.
Skate punk,"punk rock subgenre that features elements of hardcore punk, melodic hardcore and pop punk. Popular amongst skaters, surfers or skiers."
Skweee,"a musical style, with origin in Sweden and Finland."
Skyladiko,pop folk music style of Greece.
Slack-key guitar (kihoalu),Hawaiian form invented by retuning open strings on a guitar.
Slowcore,"a fusion of indie rock and sadcore . As its name applies, slowcore tends to deliver the bleak lyrics of sadcore with downbeat melodies and slow tempo."
Sludge metal,"a subgenre of heavy metal with slow-tuned tempos, abrasive distortion and harsh vocals. Basically a fusion of doom metal and hardcore punk."
Smooth soul,"a style of soul music characterized by melodic hooks, funk influence (specifically its beat) and smooth production."
Snap&B,a fusion of snap music and R&B .
Soft rock,"an offshoot of pop rock that relies on simple, melodic songs with big, lush productions."
Son montuno,Cuban folk music.
Songo music,a mixture of changuí and son montuno .
Songo-salsa,"a mixture of songo , hip hop and salsa ."
Sophisti-pop,British pop music made in the 1980s that incorporated elements of jazz and soul music (specifically their usage of the brass section); known for its extensive use of the synthesizer.
Soukous,"various ensemble sizes may be used, with upwards of three guitars sometimes employed simultaneously. Prominent horn and vocal arrangements are occasionally incorporated as well."
Soul blues,"a style of electric blues that incorporates elements of soul music , particularly its tense and raw vocals."
Soul music,a popular African-American music genre that combines gospel music and rhythm and blues (as in the blues style); known for its tense and raw vocals which are backed by a brass section.
Southern Gothic music,a style of alternative country lyrically inspired by the Southern Gothic literary genre.
Southern hip hop,"hip hop music originating from the American South (especially Atlanta, New Orleans, Houston, Memphis, and Miami). The most popular form of hip hop as of late."
Southern rock,roots rock originating from the American South that usually contains long jam sessions centered on the boogie rhythm.
Southern soul,soul music originating from the American South that usually has a stronger gospel influence and overall deeper sound than other soul.
Space age pop,a subgenre of pop music and easy listening inspired by and associated with the space age of the 1950s and 1960s.
Space music,a subgenre of new-age music meant to evoke a feeling of contemplative spaciousness.
Space rock,"an offshoot of psychedelic rock characterized by loose and lengthy song structures centered on instrumental textures that typically produce a hypnotic, otherworldly sound."
Speed garage,"a genre of electronic dance music , associated with the UK garage scene, of which it is regarded as one of its subgenres."
Spirituals,a genre of African-American Christian music linked with the hardships of slavery; serves the basics of both blues and gospel music .
Spoken word,any audio that features vocals that is neither singing nor rapping .
Spouge,Barbadian folk music .
Sri Lankan hip-hop,a part of the Asian hip hop culture.
St. Louis blues,a form of blues developed in St. Louis that tends to be more piano-based than others.
String music,Thai pop music .
Sunshine pop,a style of pop music developed in California that combined the nostalgic moods of easy listening with an appreciation for the beauty of the world.
Swamp blues,a style of blues developed in Baton Rouge that is heavily influenced by Zydeco and Cajun music .
Swamp pop,a style of pop music developed by Cajun teenagers in the 1950s that combines Cajun music with rock and roll and rhythm and blues (specifically New Orleans rhythm and blues ).
Swamp rock,"a fusion of rockabilly , soul music , swamp blues , country music and funk ."
Swing,"1. a general ""feel"" of the rhythm within jazz musicians; 2. a specific rhythm pattern that involves alternately lengthening and shortening the pulse-divisions in a rhythm."
Swing music,"a danceable form of jazz that places heavy emphasis on both definitions of swing , which is what the form is named after."
Sygyt,"type of xoomii ( Tuva throat singing ), likened to the sound of whistling ."
Synth-pop,"a style of new wave music and a form of electronic music that centers on the synthesizer as the dominant musical instrument. Originally an intentionally cold-sounding genre, later synth-pop artists incorporated elements of pop music into it, resulting in a more upbeat sound."
Synth-punk,a style of punk rock that uses synthesizers rather than guitars. Sometimes considered a form of electronic rock .
Synthwave,"a style of  music that takes most of its inspiration from synth music and pop culture from the 1980s. Musically, synthwave is often instrumental and has a ""futuristic"" theme, with large, throbbing, retro synths."
Syrian chant,chant used in Syriac Christianity.
Tai tu,Vietnamese chamber music .
Taiwanese pop,early Taiwanese pop music influenced by enka and popular with older listeners.
Tala,a rhythmic pattern in Indian classical music .
Talempong,a distinct Minangkabau gamelan music.
Tamborito,folk music style from Panama.
Tambu,"music genre and dance form, found in Aruba, Bonaire and Curaçao."
Tamil Christian keerthanai,Christian devotional lyrics in Tamil.
Táncház,Hungarian dance music.
Tango music,Argentine and Uruguayan popular music that spread internationally in the 1920s.
Tanguk,a form of Korean court music that includes elements of Chinese music .
Tarana,style of music from northern India using highly rhythmic nonsense syllables.
Techno,"a style that emerged from Detroit, Michigan known for its repetitive rhythm."
Teen pop,a subgenre of pop music targeted towards pre-teen and teenage listeners.
"Tejano music or ""Tex-Mex""",an American form of Norteño originating among the Mexican-American populations of Central and Southern Texas; considered a part of American folk music .
Tembang sunda,Sundanese sung free verse poetry.
Texas blues,"a form of blues developed in Texas that originally had swing influences, but later became a form of blues rock ."
Theatre music,music made for performance in theatres.
Thillana,form of vocal music from South India using highly rhythmic nonsense syllables.
Third Stream,jazz and classical music fusion style.
Thrash metal,"a style of extreme metal known for its fast tempos, screaming vocals, extended guitar solos and aggressive lyrics."
Thumri,a type of popular Hindustani vocal music .
Tibetan pop,"pop music heavily influenced by Chinese forms, emerging in the 1980s."
Tientos,style of organ music from the 15th century in Spain.
Timbila,form of folk music in Mozambique .
Tin Pan Alley,a name given to the collection of New York City music publishers and songwriters who dominated the popular music of the United States in the late 19th century and early 20th century; one of the major sources for traditional pop .
Tinku,traditional music and dance from Potosi Bolivia .
Toeshey,Tibetan dance music .
Tondero,folk music style from Peru.
T'ong guitar,acoustic guitar pop music of Korea .
Traditional bluegrass,modern bluegrass music that emphasizes its original elements.
Traditional Nordic dance music,upbeat style of Nordic folk.
Traditional pop,pop music that predates the existence of rock and roll ; usually has a swing influence due to that genre's prominence at that time. Later classified as a form of easy listening .
Trallalero,Genoese urban songs.
Trance music,"a style of electronic dance music characterized by a tempo lying between 110 and 150 bpm (BPM), repeating melodic phrases, and a musical form that distinctly builds tension and elements throughout a track often culminating in 1 to 2 ""peaks"" or ""drops""."
Trikitixa,Basque accordion music.
Trip hop,"a hip hop -influenced genre of electronic music that is known for its melancholy sound and a bass-heavy drumbeat. Sometimes treated as a synonym for downtempo , it differs from that genre by having a more ""earthy"" sound."
Tropical music,Latin music originating from the Caribbean.
Tropical house,a mix of reggae and house sounds originated in the late 2000s.
Turbo-folk,aggressive form of modernized Serbian music.
Turntablism,music produced by flipping a record to produce a rhythm.
Twelve-bar blues,a distinctive form predominantly based on the I-IV-V chords of a key.
Two-tone (usually spelled 2 Tone),"a style of ska that incorporates elements of punk rock and new wave music , particularly their high-paced tempo; produced by and named after the record label of the same name , most two-tone music tends to have lyrics that promotes racial harmony."
UK bass,"club music that emerged in the United Kingdom during the mid-2000s under the influence of genres such as house, grime, dubstep, UK garage, R&B, and wonky."
UK drill,a subgenre of drill music and road rap that originated in the South London district of Brixton from 2012 onwards.
UK garage,a style of electronic music and an offshoot of garage house that usually features a distinctive 4/4 percussive rhythm with chopped up vocal samples.
UK rap,a variety of styles of hip hop music made in the United Kingdom .
Unblack metal,"black metal with lyrics that praise Christianity rather than criticizing it as opposed to black metal, which traditionally focuses on Satanism or anti-Christianity."
Underground music,"music with practices perceived as outside, or somehow opposed to, mainstream popular music culture."
Urban contemporary music,"a music radio format , coined by New York radio DJ Frankie Crocker in the early to mid- 1970s as a synonym for Black music ."
Urban Cowboy,"a soft, mellow style of music that uses harmonious vocals with smooth synth sounds or rarely no music at all."
Urban Pasifika,"a blend of hip-hop, reggae, and traditional Polynesian musical styles."
Vallenato,accordion-based Colombian folk music.
Vaudeville,"a form of theatre featuring unrelated acts, including performers of popular and/or classical music , that became a popular form of entertainment in the United States until the rise of film."
Verbunkos,Hungarian dance music.
Video game music,melodic music as defined by its media.
Villanella,16th century Neapolitan songs.
Visual kei,"Japanese music scene, started around the 1980s."
Vocaloid,"a singing/voice -synthesis- (or emulation) software, which as it implies does not just consist in sound banks but voice synthesis algorithms that can be used with different kinds of voice."
Waiata,traditional Māori music
Waila (chicken scratch),"a Tohono O'odham fusion of polka , norteño and Native American music ."
Walking bass,"a style of bass accompaniment which creates a feeling of regular quarter note movement, akin to the regular alternation of feet while walking."
Wall of Sound,"a music production technique developed by Phil Spector in which a large number of musicians (including an orchestra) perform the same parts in unison and the resulting sound is re-recorded in an echo chamber. Used mostly by Spector himself for artists signed to his pop music label , along with some rock acts inspired by this style of production (most notably Brian Wilson of the Beach Boys )."
Wangga,Aboriginal Australian music genre.
Wassoulou music,"performed mostly by women. Some recurring themes in the lyrics are childbearing, fertility, and polygamy. Instrumentation includes soku, djembe drum, kamalen n'goni, karinyan and bolon."
Waulking song,"Scottish folk songs, typically sung in Gaelic. These songs were often sung by women as they worked to soften woven tweed by hitting it against a solid surface, which would give the song rhythm."
Were music,indigenous Yoruba music.
West Coast blues,a form of jump blues developed in California by Texas blues musicians who moved there.
West Coast hip hop,hip hop music originating from the western United States (largely Los Angeles); the first form of hip hop not to originate from the East Coast.
Western swing,an up-tempo danceable form of country music that is heavily influenced by swing music .
Wizard rock,geek rock that's specifically about Harry Potter.
"Women's music or womyn's music, wimmin's music",1970s lesbian/feminist music.
Wong shadow,1960s Thai pop music .
Wonky,music with shaky off-kilter beats that came out of the 90s.
Worldbeat,a music genre that combines rock and pop music with music that is usually labeled as world music .
World music,"music originating outside the Western world (although the term has occasionally been applied to various forms of Western folk music ). This may also include Latin music , music from the Caribbean , and regional forms of Western popular music that are performed in non-Western languages but are otherwise nearly indistinguishable in style."
Wu-tang,a dance originating in Philadelphia before spreading throughout the surrounding region.
Xenomania,a music style created by Brian Higgins that has usually a strange and crazy feel to it.
Xoomii,a style of music which is produced by rolling the throat in ways to create an instrument-like sound to it.
Xote,is a Brazilian music genre and dance for pairs or groups of four.
Xylophonecore,xylophone music mixed with electronic.
Yass,a style of Polish music from the 1980s and 1990s.
Yé-yé,French music that emerged from the 60s.
Yo-pop,"a style of music, popularized in the 1980s by Segun Adewale."
Zamacueca,Peruvian folk dance of African origins and precursor of Zamba.
Zamba,Argentinian folk dance and music genre.
Zapin,"derived from ancient Arabic music, zapin is popular throughout Malaysia ."
Zarzuela,a form of Spanish operetta .
Zeibekiko,Greek Dance 9/8 Rytmus.
Zef,South African music based on both rap and rave.
Ziglibithy,music from the Côte d'Ivoire made by people like Ernesto Djedje.
Znamenny chant,"a unison, melismatic chant used in the Russian Orthodox Church."
Zouk,French Caribbean ( Guadeloupean ) dance music .
Zouk Love,"performed at a slower tempo than traditional zouk music (between 95 and 100 bpm) and is smoother, more sentimental and quieter overall."
Zydeco,a Louisianan traditional musical style centered on the accordion and the washboard.
